RegistrationNo,CompanyName,BuildingNumber,StreetName,TownName,CountrySubDivision,PostCode,Country
2549006N4GFE7FY84O69,VASSALO TECHNOLOGIE,Rué,"2, Rue Robert Giraudineau",Vincennes,,94300,FR
2549000CDIJBSPSBSW08,LexisNexis Business Information Solutions Holding,,Rue de Javel,Paris,FR-IDF,75015,FR
2549007UOK65ZTYP7R17,T2C,rué CS 48756,"58, Rue de Monceau",Paris,,75380,FR
2549007TUBOXRQBQEV06,XPERT DIGITAL SECURITY,,"11, Allée des Érables",Plaisir,,78370,FR
254900SI5K5TRWYHQW25,UdaSoft Ventures,Rué,"28, Rue Saint-Lazare",Paris,,75009,FR
254900R519M7Q34GAU64,L'éveil des sens,,"60, Rue François 1er",PARIS,FR-IDF,75008,FR
254900S11EOT02GSH197,Groupe HG,Bruxelles,"37, Rue de l'Industrie",TOULOUSE,,31000,FR
254900VWZRJO9CEBAA07,MONCENIS,chez Vincent Moncenis,"13, Rue des Graviers",Neuilly-sur-Seine,FR-IDF,92200,FR
2549005ICE88E11X9669,SELARL DR HADDAD PARIS LILAS,Les Lilas,"41, Avenue du Maréchal Juin",Paris,FR-IDF,93260,FR
254900RDOEQ7UBPM4Y54,Unframed,B,"91, Route de Pessac",GRADIGNAN,,33170,FR
254900MIDNGD4U589H28,SNC HEREP III CHARENTON,66 L'avenue Charles-de-Gaull,,Neuilly-sur-Seine,,92200,FR
254900XDFJOVZDFCIU18,ADRIEN INSIGHTS,,"175, Avenue du Grand Vallat",AIX-EN-PROVENCE,,13100,FR
254900JRWM5L6DITRB55,ACE VISION TECH,,"55, Rue Rouelle",PARIS,,75015,FR
2549002FA574JW9VWT77,Feranor,,"27, Rue Charton",OULLINS-PIERRE-BENITE,,69600,FR
25490056E9RU273UPQ37,UXCO HACKER PROPCO,,"125, Rue Gilles Martinet",Montpellier,,34070,FR
254900P177X6N8RLWK72,MAEK HOLDING,Rougé,"26, Rue du Chapeau Rouge",Lyon,,69009,FR
2549003S1SJ94WODKP53,VEG Invest,Lé Canvolan 278,Chemin de Crouze,Tignes,,73320,FR
2549007VE8Z85P41K609,Biscuit & Food Engineering,,"22, Rue des Jonquilles",SAINT-SEBASTIEN-SUR-LOIRE,,44230,FR
254900NGATWQS2LY7J71,S P F T,,"4, Avenue Hoche",Paris,FR-IDF,75008,FR
254900O7NMKG6OE4GW72,FINWISE,,"60, Rue François 1er",Paris,,75008,FR
254900TX3XVMUDBO5K74,NIKOZEN,Chémin,"1200, Chemin de la Foux",Mouans-Sartoux,,06370,FR
254900SVH1VU8X7NZM23,Grrif Burger,,"2656, Avenue de la Chalosse",BAIGTS,,40380,FR
254900QO23PW7VNXOG42,AMD Invest,Résidence Le Prémou Chemin de Crouze,,Tignes,,73320,FR
254900G5M2KAC8L7MU97,OMPHALOS,,"19, Rue Damrémont",Paris,,75018,FR
254900RF4PQ0FGGV9K42,Ceres Groupe SAS,rué,"5, Rue de la Baume",Paris,,75008,FR
254900V3F2QIO0SI7H68,Tango BidCo,Hoch,"8, Avenue Hoche",Paris,FR-IDF,75008,FR
2549009LTTH7IK77GA63,LS2P Avocats,boulévard Avocap 2.2,"222, Boulevard Saint-Germain",Paris,,75007,FR
254900BTXGHXQIH0V527,A.A.A. CONCEPT,Principalé,"34, Rue Principale",DoméliersDoméliers,,60360,FR
254900BAVZ7TWIQMNB73,INGE-DISTRIBUTION,Vitry-en-Artois,,Vitry-en-Artois,,62490,FR
2549006A1EWXUGTBSC76,AKS GROUP,RENE,"26, Rue René Char",AVION,,62210,FR
2549007WGB7XTI9CVU81,GM118,Rué,"61, Rue de Lyon",Paris,,75012,FR
254900WLW6A44VDNJL87,Net-Progress,Rué,"14, Rue Louise Michel",Eysines,,33320,FR
254900BUNK6F97XOHL43,La Compagnie du 21 Juin,Rué,"9, Rue Pierre Demours",Paris,,75017,FR
254900LV3VDC59LTJH21,RASCASSE,"Nordstrand, 76",Via Nova,Fréjus,,83600,FR
254900VOYXL7EN2SN322,NSM Invest,bd,"18, Boulevard de Lorraine",Marseille,,13008,FR
254900A5L9ELY1U2S642,DV VENTURES,rué,"159, Rue Legendre",Paris,,75017,FR
254900LW6CU9LTPU2P98,Nouvelle famille heureuse,Clémenceau,"18, Avenue Georges Clemenceau",Vincennes,,94300,FR
254900EC7Q96AREC4122,Pearlcraft,SEVRES,"107, Rue de Sèvres",PARIS,,75006,FR
254900GG0E7LWD9GG039,CODRIOTECH,"48, Appt 48","8, Allée Paul Langevin",Champs Sur Marne,,77420,FR
2549002HNZ0KS1SNE528,GROUPE ADAM,Rué,"38, Rue de l'Est",Saint-Quentin,,02100,FR
25490048I4VXPY3LD832,SNC NLH Marne,,"95, Rue La Boétie",Paris,,75008,FR
254900JHTQ63XG0VF542,CLEAR2PAY FRANCE,,"1, Rue Eugène et Armand Peugeot",Rueil-Malmaison Cedex,FR-IDF,92508,FR
