RegistrationNo,CompanyName,BuildingNumber,StreetName,TownName,CountrySubDivision,PostCode,Country
894500B3V5D0VXHLRQ16,HOSAPURA CONSTRUCTIONS PRIVATE LIMITED,"1798, New 1","nan, # 1798/B, New 1B, G.B Gate T N Road, Siddarthanagar",MYSORE,,570011,IN
894500AOME00ORTJZQ93,RAN VENTURES PRIVATE LIMITED,2,"Huda Colony Main Road, # Villa No., The Trails, Pokalawada, Manikonda, Rangareddy Dist",HYDERABAD,,500089,IN
89450087S261CIF7G645,SAINI WORLD,"192, 6","Sarjapur Main Road, #192/6, Dommasandra, Sarjapura, Anekal Hobli",Bengaluru,,562125,IN
8945003A8Y1UAYYE0M51,R K CORP,102,"nan, OFF BUILDING CO OWNERS ASSO, NR PUNJABI HALL, SWASTIK SOCIETY",AHMEDABAD,,380009,IN
335800ZH4SN2HLNCTM29,RAMAN LATA ENTERPRISES,"0, 0","nan, SAHUKARA MOHALLA, BISAULI, BUDAUN, BUDAUN, UTTAR PRADESH",BUDAUN,IN-UP,243601,IN
335800PJVUUU3MTV5U85,DINESH CONSTRUCTION COMPANY,0,"nan, UNCHAHAR, RAEBARELI, RAEBARELI, UTTAR PRADESH",RAEBARELI,IN-UP,229404,IN
8945009IA1ZW4W2R1Y17,SHREE LAXMINARAYAN RICE MILL,"0, 52","nan, 0/52, HIVRE TARFE NARAYANGAON, HIVRE TARFE NARAYANGAON",DISTRICT PUNE,,410504,IN
984500E367B2914E0287,CHAYTANYA CONSTRUCTION CO,"01, 01","nan, Chaytanya Cons co., Subhash Ward,Ring Road",Bhandara,IN-MH,441904,IN
984500F5C4CB1FDCC379,GAUTAM GAURAV (HUF),01,"Pithariya Khurd Road, AZAD CHOK",Bhilwara,IN-RJ,311001,IN
8945005YXYVZ7A6KXI69,VANVASI UTKARSH MANDAL,01,"nan, BHACHADIYA, POST RANGPUR, TAL DANTA",DIST BANASKANTHA,,385120,IN
335800B6OCT3DJ7UPE50,HARSH RICE INDUSTRIES,01,"nan, CHITOUD GURUR, KUMHAR KHAN",BALOD,IN-CG,491227,IN
984500B45DR886A6B347,PALTECH CONSULTING PRIVATE LIMITED,02,"nan, Flat, Ground Floor, Kundan Bhai Nivas, Brundhavan Colony, Beside Subway, Gandipet Mandal, K.V.Rangareddy, Rajendra Nagar",Himayathnagar,IN-TS,500075,IN
6488SB7SG40T1L972G87,NESTICO GLOBAL PRIVATE LIMITED,"02, 303, 03rd","36342, 02, N.H, Lakhdhirpur, 303, 03rd Floor, Eden Ceramic City, Lalpar, Morvi, Gujarat, India",Rajkot,,363642,IN
89450097I1K5G6Z79261,PORTOCER INTERNATIONAL,"02, 4TH, 401","36342, 02, N.H, Lakhdhirpur, 4TH FLOOR, 401, Eden Ceramic City, Lakdhirpur, Morbi",Morbi,,363642,IN
335800IGY1MIJKMBSK13,STICWELL TECHNOLOGIES PRIVATE LIMITED,"03RD, Metro Pillar 172, E2, 185, 03RD","E-2/215, Street Number 4, 03RD FLOOR, Metro Pillar 172, Block B, Shastri Nagar, E2/185, GALI NO. 03RD FLOOR, NEW DELHI, NEW DELHI, DELHI, INDIA",DELHI,IN-DL,110052,IN
6488KWVO4LE4982M4471,GUJARAT COLD STORAGE,"0428, 13, 0746, 0002, 296","Odhav Road, 0428-13-0746-0002-B, F.P.NO.296, NR. C.M.C. FACTORY, G.I.D.C., Gujarat",AHMEDABAD,,382410,IN
98450056CAED3B0BDT80,ALLIANZE NETRA LLP,"05, UNIT 09, 05","9, Burdwan Road, 05, Pradip Nagar, CAPITAL ONE BUILDING, UNIT 09, WARD NO. 05, Siliguri Bazar, Darjiling",Siliguri,IN-WB,734005,IN
648893HRZ8644YO5HW41,DTECH PRODUCTS PRIVATE LIMITED,07,"7, Savli GIDC Road, MANJUSAR, Gujarat, India",VADODARA,,391775,IN
8945007AIRK7GJ5A4627,PITRU KRUPA KANCH GHAR,"1 7 228, 45","nan, 1 7 228/45, UNITED BUILDERS PARADISE",SECUNDERABAD,,500003,IN
98450062A055946E8A26,BIOTECH LIFESCIENCES PRIVATE LIMITED,1,"Ambli Road, Abhishree Corporate House, Ambali, Daskroi",Ahmedabad,IN-GJ,380058,IN
8945007RX4LYLFFN1Y09,MAULI AGRO INDUSTRIES,1 GUT NO 27 03,"nan, MAULI AGRO INDUSTRIES LONI",UDGIR,,413517,IN
6488D75N88NODFO69760,LINKTER ENERGY PRIVATE LIMITED,"1, Flat 1, 101, 1C","nan, 1 a, Mogappair West, Mogappair, Touchstone Apartment, Flat 1 A, 101/1C, Ambattur, Tamil Nadu",Tiruvallur,,600037,IN
6488U3O73NF1I85L6S47,MAA KALUA TRADERS,"1, 001","nan, Thakurani temple, Thakurani temple street, Gandala",GANJAM,,761003,IN
6488ZZ3H4S92PMH58540,HISSARIA ART PALACE PRIVATE LIMITED,"1, 1","nan, Hissaria Art Palace Pvt Ltd, Thana Road, Gaurav Computers",Hanumangarh,,335512,IN
